id,client_id,montant,transaction_type,date
104,1005,1151,virement,2023-04-17
105,1008,1501,paiement,2023-02-16
106,1007,714,virement,2023-03-08
107,1019,1010,retrait,2023-05-15
108,1003,1478,remboursement,2023-04-04
109,1004,268,remboursement,2023-04-16
110,1003,821,virement,2023-07-22
111,1001,1194,paiement,2023-05-31
112,1002,1501,virement,2023-07-08
113,1019,624,remboursement,2023-04-30
114,1020,279,retrait,2023-08-28
115,1020,1922,virement,2023-09-20
116,1016,1204,virement,2023-05-04
117,1012,1201,virement,2023-06-10
118,1018,1682,retrait,2023-06-29
119,1001,982,achat,2023-10-26
120,1003,1912,achat,2023-03-28
121,1009,1675,paiement,2023-11-20
122,1015,1228,retrait,2023-09-07
123,1019,1065,paiement,2023-07-03
124,1002,221,retrait,2023-07-12
125,1017,1362,achat,2023-08-18
126,1014,1187,remboursement,2023-12-25
127,1019,1664,retrait,2023-03-21
128,1008,633,virement,2023-07-22
129,1010,155,virement,2023-06-18
130,1014,512,retrait,2023-11-19
131,1005,1116,virement,2023-07-06
132,1014,1790,paiement,2023-12-28
133,1007,1427,remboursement,2023-06-11
134,1002,262,retrait,2023-04-25
135,1014,846,achat,2023-12-25
136,1005,1700,remboursement,2023-12-13
137,1006,1696,paiement,2023-08-27
138,1019,468,paiement,2023-10-05
139,1011,1582,remboursement,2023-03-06
140,1017,880,remboursement,2023-08-16
141,1003,1084,retrait,2023-12-18
142,1013,1277,achat,2023-07-21
143,1011,1821,virement,2023-10-27
144,1011,1450,virement,2023-06-24
145,1011,653,paiement,2023-05-24
146,1015,291,retrait,2023-05-06
147,1017,756,remboursement,2023-10-17
148,1004,1922,achat,2023-11-23
149,1019,910,remboursement,2023-04-23
150,1013,1737,remboursement,2023-02-26
151,1005,1181,retrait,2023-09-06
152,1003,1289,virement,2023-04-06
153,1018,427,achat,2023-06-29
154,1014,219,retrait,2023-05-11
155,1006,626,retrait,2023-01-11
156,1007,100,retrait,2023-11-01
157,1009,501,achat,2023-12-13
158,1010,373,achat,2023-11-20
159,1018,377,remboursement,2023-06-19
160,1011,204,remboursement,2023-04-22
161,1017,609,remboursement,2023-10-10
162,1011,953,paiement,2023-08-31
163,1014,1336,paiement,2023-12-16
164,1010,404,paiement,2023-03-09
165,1017,1227,retrait,2023-07-19
166,1002,1013,achat,2023-04-13
167,1012,572,remboursement,2023-08-21
168,1012,1625,achat,2023-12-06
169,1004,1816,paiement,2023-06-15
170,1004,1967,retrait,2023-11-19
171,1016,1788,achat,2023-06-29
172,1003,1863,virement,2023-10-13
173,1004,1988,achat,2023-06-09
174,1014,1691,paiement,2023-10-19
175,1007,1065,remboursement,2023-07-09
176,1010,1440,virement,2023-09-15
177,1001,713,paiement,2023-09-26
178,1020,769,retrait,2023-12-05
179,1011,1697,virement,2023-04-03
180,1010,466,achat,2023-05-21
181,1009,1608,virement,2023-11-16
182,1019,712,remboursement,2023-10-13
183,1002,521,paiement,2023-04-29
184,1017,357,achat,2023-07-22
185,1013,844,achat,2023-06-06
186,1010,490,remboursement,2023-11-03
187,1017,1129,remboursement,2023-07-04
188,1012,1538,virement,2023-09-09
189,1015,217,paiement,2023-03-13
190,1007,687,retrait,2023-06-27
191,1007,1814,remboursement,2023-11-05
192,1020,627,achat,2023-06-11
193,1009,286,paiement,2023-01-06
194,1016,1688,achat,2023-12-21
195,1013,797,virement,2023-05-04
196,1004,239,retrait,2023-11-18
197,1013,311,remboursement,2023-03-13
198,1017,1095,achat,2023-03-26
199,1015,1048,achat,2023-06-25
200,1004,394,virement,2023-03-10
201,1013,1730,virement,2023-11-05
202,1012,753,achat,2023-06-02
203,1002,392,paiement,2023-03-17
204,1019,226,remboursement,2023-06-18
205,1015,1439,retrait,2023-12-14
206,1017,1714,virement,2023-06-18
207,1001,321,remboursement,2023-05-03
208,1009,167,remboursement,2023-11-03
209,1012,1065,remboursement,2023-12-27
210,1001,1574,virement,2023-06-07
211,1017,1548,retrait,2023-09-10
212,1008,240,remboursement,2023-03-16
213,1002,600,remboursement,2023-04-27
214,1007,164,remboursement,2023-11-24
215,1008,745,retrait,2023-03-21
216,1009,1450,virement,2023-06-22
217,1020,165,virement,2023-05-09
218,1007,1659,virement,2023-05-30
219,1006,1041,remboursement,2023-03-05
220,1015,1760,remboursement,2023-11-16
221,1020,906,retrait,2023-05-10
222,1013,1503,retrait,2023-10-04
223,1004,118,remboursement,2023-12-11
224,1007,741,retrait,2023-09-27
225,1009,1050,paiement,2023-07-25
226,1011,735,retrait,2023-07-13
227,1009,485,retrait,2023-11-25
228,1013,1631,retrait,2023-02-03
229,1011,985,remboursement,2023-01-29
230,1016,1413,achat,2023-10-22
231,1002,253,paiement,2023-03-08
232,1009,194,retrait,2023-10-17
233,1005,403,virement,2023-01-17
234,1005,912,achat,2023-07-19
235,1010,1133,virement,2023-04-01
236,1014,1586,virement,2023-03-28
237,1007,960,paiement,2023-11-04
238,1006,1846,remboursement,2023-06-07
239,1020,1056,retrait,2023-09-01
240,1002,1548,virement,2023-04-25
241,1011,509,remboursement,2023-10-09
242,1002,472,retrait,2023-10-22
243,1013,1766,virement,2023-03-19
244,1018,988,remboursement,2023-03-07
245,1004,718,retrait,2023-10-26
246,1003,1326,achat,2023-07-19
247,1007,798,virement,2023-08-06
248,1007,402,remboursement,2023-10-21
249,1016,210,paiement,2023-09-28
250,1018,120,remboursement,2023-12-08
251,1013,1475,paiement,2023-07-27
252,1006,1795,retrait,2023-11-09
253,1017,440,paiement,2023-10-18
254,1011,1810,achat,2023-04-17
255,1009,1847,paiement,2023-05-29
256,1015,1697,remboursement,2023-08-18
257,1012,1652,virement,2023-05-23
258,1015,1222,remboursement,2023-09-17
259,1018,953,retrait,2023-07-22
260,1006,1285,remboursement,2023-09-07
261,1011,414,paiement,2023-01-26
262,1010,434,virement,2023-09-14
263,1005,693,achat,2023-03-24
264,1009,293,remboursement,2023-02-04
265,1017,108,paiement,2023-10-07
266,1020,172,retrait,2023-02-10
267,1003,1676,achat,2023-05-23
268,1015,1938,paiement,2023-02-20
269,1019,1746,remboursement,2023-08-01
270,1007,107,virement,2023-10-29
271,1017,260,virement,2023-04-19
272,1014,1499,virement,2023-02-14
273,1017,1020,virement,2023-03-09
274,1012,303,retrait,2023-05-29
275,1011,1321,remboursement,2023-04-26
276,1003,813,paiement,2023-12-30
277,1001,608,achat,2023-01-01
278,1003,688,paiement,2023-03-26
279,1013,258,retrait,2023-10-10
280,1019,1042,remboursement,2023-12-17
281,1017,1212,retrait,2023-01-29
282,1019,1432,virement,2023-03-28
283,1011,1906,achat,2023-05-09
284,1010,1573,paiement,2023-05-14
285,1013,669,achat,2023-03-19
286,1012,1173,paiement,2023-11-20
287,1014,1694,remboursement,2023-12-28
288,1007,1071,retrait,2023-01-23
289,1016,1068,achat,2023-04-23
290,1016,1993,remboursement,2023-08-02
291,1020,267,achat,2023-01-29
292,1018,1412,remboursement,2023-03-09
293,1004,621,remboursement,2023-01-14
294,1013,312,retrait,2023-12-08
295,1005,811,achat,2023-03-16
296,1009,1720,paiement,2023-07-07
297,1013,594,remboursement,2023-08-19
298,1009,1887,retrait,2023-01-17
299,1011,1548,virement,2023-04-19
300,1016,704,virement,2023-06-21
301,1001,493,paiement,2023-09-17
302,1010,1731,paiement,2023-03-10
303,1006,937,achat,2023-09-03
304,1001,239,retrait,2023-12-17
305,1002,438,paiement,2023-01-05
306,1011,1895,virement,2023-07-23
307,1002,581,paiement,2023-11-06
308,1006,1520,remboursement,2023-07-26
309,1018,370,remboursement,2023-01-21
310,1018,1169,remboursement,2023-01-11
311,1011,1320,virement,2023-05-27
312,1008,976,achat,2023-02-03
313,1004,195,retrait,2023-08-20
314,1015,1885,paiement,2023-02-20
315,1005,979,virement,2023-08-06
316,1006,1667,remboursement,2023-02-05
317,1006,962,achat,2023-10-15
318,1014,333,virement,2023-11-24
319,1004,183,retrait,2023-08-24
320,1011,366,retrait,2023-06-16
321,1016,310,achat,2023-06-28
322,1017,1699,achat,2023-11-30
323,1020,1784,achat,2023-12-01
324,1015,734,paiement,2023-11-23
325,1013,1826,retrait,2023-09-18
326,1008,1336,virement,2023-04-07
327,1004,773,virement,2023-04-02
328,1020,166,paiement,2023-02-15
329,1020,1350,paiement,2023-03-21
330,1019,1751,virement,2023-08-01
331,1015,1446,achat,2023-01-28
332,1006,1492,remboursement,2023-03-29
333,1011,143,achat,2023-08-13
334,1018,844,paiement,2023-01-18
335,1020,431,paiement,2023-03-02
336,1009,387,achat,2023-10-20
337,1008,1254,retrait,2023-04-27
338,1014,230,achat,2023-11-29
339,1005,646,achat,2023-09-20
340,1015,127,virement,2023-12-04
341,1011,1971,retrait,2023-08-23
342,1004,194,retrait,2023-10-10
343,1008,889,remboursement,2023-02-21
344,1012,459,retrait,2023-03-09
345,1006,184,remboursement,2023-09-10
346,1004,1197,retrait,2023-12-26
347,1011,1041,remboursement,2023-10-19
348,1006,1778,virement,2023-05-04
349,1016,1297,retrait,2023-12-27
350,1010,323,achat,2023-03-18
351,1001,972,virement,2023-01-26
352,1004,910,remboursement,2023-01-09
353,1014,682,paiement,2023-05-13
354,1014,521,retrait,2023-09-04
355,1020,233,remboursement,2023-09-28
356,1002,1279,virement,2023-10-29
357,1006,802,virement,2023-02-19
358,1008,1676,achat,2023-11-25
359,1011,1079,virement,2023-09-18
360,1010,1495,retrait,2023-10-03
361,1010,603,virement,2023-10-07
362,1002,1396,paiement,2023-05-12
363,1011,1018,paiement,2023-10-21
364,1016,700,retrait,2023-04-15
365,1007,1297,paiement,2023-09-30
366,1013,798,virement,2023-12-13
367,1009,1243,achat,2023-10-27
368,1013,1284,paiement,2023-07-15
369,1008,1396,paiement,2023-09-07
370,1015,875,retrait,2023-03-04
371,1007,1490,retrait,2023-07-01
372,1010,162,remboursement,2023-08-01
373,1006,1832,virement,2023-09-26
374,1017,689,remboursement,2023-04-12
375,1007,285,remboursement,2023-05-03
376,1008,461,virement,2023-09-30
377,1009,896,virement,2023-05-09
378,1016,608,achat,2023-10-03
379,1004,272,paiement,2023-07-15
380,1005,1345,virement,2023-02-19
381,1018,1943,achat,2023-10-12
382,1013,198,paiement,2023-09-15
383,1003,1302,remboursement,2023-11-28
384,1015,1611,retrait,2023-03-02
385,1018,489,remboursement,2023-06-14
386,1008,700,virement,2023-10-11
387,1017,1119,remboursement,2023-10-20
388,1008,1487,remboursement,2023-07-01
389,1018,1216,remboursement,2023-08-25
390,1013,1297,paiement,2023-02-06
391,1004,1803,remboursement,2023-06-09
392,1007,1402,remboursement,2023-04-25
393,1014,550,remboursement,2023-01-16
394,1013,1416,remboursement,2023-08-17
395,1005,1888,retrait,2023-01-06
396,1013,1671,virement,2023-05-06
397,1019,1129,virement,2023-05-14
398,1005,219,achat,2023-05-20
399,1014,257,retrait,2023-05-03
400,1005,598,achat,2023-07-11
401,1015,353,virement,2023-11-02
402,1010,823,retrait,2023-10-16
403,1016,829,retrait,2023-11-09
404,1013,1043,paiement,2023-12-18
405,1002,1303,paiement,2023-08-13
406,1004,683,paiement,2023-07-16
407,1017,1743,retrait,2023-06-25
408,1009,1034,retrait,2023-11-22
409,1016,1971,paiement,2023-09-29
410,1016,508,remboursement,2023-11-15
411,1006,477,achat,2023-02-26
412,1011,807,retrait,2023-06-07
413,1017,601,virement,2023-06-06
414,1002,1381,virement,2023-12-29
415,1005,820,remboursement,2023-07-09
416,1008,1765,paiement,2023-10-19
417,1011,577,remboursement,2023-11-21
418,1009,1383,retrait,2023-07-23
419,1017,984,virement,2023-07-17
420,1020,1068,retrait,2023-06-30
421,1019,427,paiement,2023-04-11
422,1007,1519,paiement,2023-11-19
423,1002,1433,paiement,2023-06-26
424,1001,469,retrait,2023-07-11
425,1003,320,virement,2023-08-08
426,1008,743,achat,2023-10-16
427,1002,395,retrait,2023-09-06
428,1004,948,paiement,2023-09-02
429,1001,140,remboursement,2023-03-31
430,1013,1753,paiement,2023-08-02
431,1009,847,virement,2023-03-21
432,1020,1123,paiement,2023-10-22
433,1005,1465,retrait,2023-08-19
434,1006,565,paiement,2023-07-31
435,1004,460,remboursement,2023-02-05
436,1012,275,retrait,2023-10-24
437,1002,623,virement,2023-07-26
438,1002,1198,remboursement,2023-12-15
439,1019,1053,retrait,2023-10-04
440,1008,477,virement,2023-01-06
441,1018,1358,achat,2023-05-31
442,1006,765,retrait,2023-11-13
443,1016,103,remboursement,2023-07-18
444,1005,1855,achat,2023-06-13
445,1013,558,remboursement,2023-09-09
446,1006,1336,achat,2023-07-30
447,1008,1256,paiement,2023-04-11
448,1012,1568,remboursement,2023-08-06
449,1015,1572,paiement,2023-10-03
450,1012,447,retrait,2023-02-05
451,1016,1951,achat,2023-05-19
452,1006,1116,virement,2023-02-28
453,1007,1402,remboursement,2023-10-19
454,1003,1341,paiement,2023-03-09
455,1017,1404,retrait,2023-04-13
456,1006,450,virement,2023-05-18
457,1004,1000,retrait,2023-09-19
458,1013,372,achat,2023-02-14
459,1019,1645,achat,2023-06-28
460,1001,523,remboursement,2023-04-02
461,1007,284,virement,2023-08-28
462,1001,1299,paiement,2023-09-01
463,1020,708,virement,2023-11-20
464,1001,1172,paiement,2023-05-12
465,1003,1448,achat,2023-01-08
466,1002,995,paiement,2023-07-09
467,1001,1298,virement,2023-05-27
468,1019,721,virement,2023-12-14
469,1018,1629,paiement,2023-03-17
470,1001,1905,retrait,2023-11-21
471,1008,422,achat,2023-11-07
472,1011,802,remboursement,2023-11-18
473,1008,1936,retrait,2023-10-26
474,1008,257,virement,2023-05-09
475,1017,1586,virement,2023-12-24
476,1001,1445,virement,2023-02-03
477,1001,1450,achat,2023-10-05
478,1007,550,paiement,2023-02-22
479,1019,662,retrait,2023-12-11
480,1015,625,virement,2023-10-28
481,1018,1064,retrait,2023-11-28
482,1010,1937,remboursement,2023-07-03
483,1002,1914,virement,2023-03-24
484,1018,1926,achat,2023-06-08
485,1020,614,remboursement,2023-08-05
486,1013,1346,paiement,2023-11-13
487,1007,770,paiement,2023-09-27
488,1012,1358,virement,2023-06-29
489,1017,1055,paiement,2023-03-17
490,1004,890,virement,2023-01-26
491,1004,887,achat,2023-11-28
492,1002,1543,paiement,2023-04-29
493,1017,1037,achat,2023-08-11
494,1018,479,virement,2023-02-15
495,1020,1732,retrait,2023-12-16
496,1019,758,achat,2023-04-09
497,1004,712,paiement,2023-04-06
498,1005,1253,virement,2023-03-19
499,1015,309,remboursement,2023-04-30
500,1001,129,virement,2023-01-06
501,1006,332,retrait,2023-05-17
502,1006,1488,remboursement,2023-11-02
503,1004,1138,virement,2023-05-23
504,1005,237,remboursement,2023-01-14
505,1014,1738,achat,2023-07-11
506,1011,1224,achat,2023-07-20
507,1002,382,paiement,2023-02-13
508,1008,1200,retrait,2023-01-20
509,1003,1985,achat,2023-06-23
510,1011,278,remboursement,2023-10-18
511,1004,1944,virement,2023-04-20
512,1009,1222,virement,2023-07-30
513,1005,226,achat,2023-06-14
514,1015,821,paiement,2023-01-23
515,1003,1007,retrait,2023-03-01
516,1018,1750,retrait,2023-09-16
517,1020,180,achat,2023-11-03
518,1011,598,remboursement,2023-09-22
519,1011,398,virement,2023-03-23
520,1002,1314,achat,2023-12-01
521,1006,1963,paiement,2023-06-03
522,1010,596,virement,2023-12-17
523,1009,1345,retrait,2023-12-17
524,1012,1220,retrait,2023-11-19
525,1019,720,retrait,2023-05-09
526,1004,1108,paiement,2023-12-27
527,1005,387,virement,2023-07-15
528,1019,188,achat,2023-04-16
529,1002,191,remboursement,2023-10-12
530,1006,1355,achat,2023-02-05
531,1003,135,retrait,2023-12-15
532,1004,607,virement,2023-11-07
533,1001,930,achat,2023-05-11
534,1013,1860,achat,2023-03-06
535,1011,1104,remboursement,2023-04-10
536,1014,1007,achat,2023-01-07
537,1004,1131,retrait,2023-10-28
538,1017,1407,remboursement,2023-03-06
539,1017,1016,achat,2023-07-20
540,1001,542,retrait,2023-12-07
541,1006,1364,virement,2023-04-15
542,1020,1871,remboursement,2023-03-05
543,1015,1196,retrait,2023-06-19
544,1020,1786,achat,2023-01-06
545,1007,1559,retrait,2023-07-10
546,1001,1133,paiement,2023-02-10
547,1019,570,paiement,2023-12-27
548,1009,1402,virement,2023-03-20
549,1015,907,retrait,2023-11-10
550,1015,271,paiement,2023-04-16
551,1018,759,retrait,2023-06-23
552,1010,1490,paiement,2023-07-15
553,1016,460,paiement,2023-04-13
554,1020,999,achat,2023-05-22
555,1009,1616,remboursement,2023-02-26
556,1020,1378,remboursement,2023-08-12
557,1007,1333,virement,2023-07-30
558,1006,1230,paiement,2023-08-24
559,1019,1215,paiement,2023-03-22
560,1017,1756,remboursement,2023-01-20
561,1020,251,retrait,2023-12-04
562,1016,748,retrait,2023-08-24
563,1020,377,achat,2023-09-16
564,1010,1780,remboursement,2023-01-19
565,1016,730,remboursement,2023-08-26
566,1020,1967,paiement,2023-12-19
567,1001,1479,paiement,2023-11-19
568,1007,1656,retrait,2023-12-16
569,1018,1433,retrait,2023-10-07
570,1020,1619,virement,2023-04-12
571,1016,548,remboursement,2023-11-22
572,1001,552,remboursement,2023-12-25
573,1006,767,retrait,2023-08-13
574,1013,279,achat,2023-06-14
575,1012,1161,remboursement,2023-06-12
576,1012,637,retrait,2023-11-08
577,1012,1155,paiement,2023-02-03
578,1007,727,paiement,2023-08-17
579,1013,1745,remboursement,2023-05-22
580,1019,1383,virement,2023-10-28
581,1008,1320,remboursement,2023-12-08
582,1003,669,retrait,2023-11-10
583,1006,1961,paiement,2023-03-15
584,1007,1290,retrait,2023-07-14
585,1013,1352,retrait,2023-02-25
586,1012,1107,paiement,2023-06-04
587,1006,1111,achat,2023-05-31
588,1005,638,retrait,2023-07-13
589,1008,1514,virement,2023-08-21
590,1008,711,achat,2023-04-14
591,1018,1874,retrait,2023-05-04
592,1010,1569,virement,2023-03-14
593,1004,919,paiement,2023-05-20
594,1002,1968,virement,2023-08-18
595,1013,207,retrait,2023-10-24
596,1017,1013,virement,2023-10-09
597,1017,1872,remboursement,2023-11-05
598,1016,667,achat,2023-07-31
599,1001,1579,virement,2023-02-13
600,1011,286,achat,2023-09-20
601,1010,1611,paiement,2023-05-23
602,1017,1719,paiement,2023-11-06
603,1019,593,remboursement,2023-10-29
604,1010,586,achat,2023-07-29
605,1011,1290,virement,2023-06-12
606,1007,927,paiement,2023-07-01
607,1005,1723,virement,2023-01-30
608,1018,985,achat,2023-12-10
609,1006,1269,retrait,2023-02-04
610,1001,1187,remboursement,2023-03-29
611,1002,753,virement,2023-06-19
612,1009,1052,paiement,2023-12-19
613,1002,1347,virement,2023-07-07
614,1018,1501,retrait,2023-09-19
615,1001,707,virement,2023-10-30
616,1018,633,achat,2023-03-23
617,1004,1629,retrait,2023-08-12
618,1020,230,virement,2023-11-10
619,1019,645,paiement,2023-10-06
620,1018,1107,remboursement,2023-08-24
621,1014,504,achat,2023-10-31
622,1008,709,virement,2023-07-31
623,1014,1078,retrait,2023-10-06
624,1009,1685,paiement,2023-06-28
625,1014,1742,virement,2023-04-08
626,1003,1129,remboursement,2023-02-20
627,1018,749,retrait,2023-10-10
628,1010,1038,retrait,2023-02-01
629,1002,665,virement,2023-11-14
630,1016,812,retrait,2023-07-22
631,1011,724,remboursement,2023-04-27
632,1010,717,virement,2023-10-27
633,1002,978,retrait,2023-06-28
634,1015,1523,remboursement,2023-06-05
635,1003,827,virement,2023-01-20
636,1012,1662,retrait,2023-12-21
637,1005,1278,achat,2023-12-22
638,1014,860,virement,2023-09-26
639,1015,766,paiement,2023-02-24
640,1013,1811,virement,2023-01-24
641,1004,1261,virement,2023-03-15
642,1003,691,achat,2023-04-06
643,1019,1755,paiement,2023-02-10
644,1006,1838,remboursement,2023-09-13
645,1013,1452,virement,2023-06-05
646,1003,327,retrait,2023-11-27
647,1018,217,paiement,2023-07-22
648,1019,1156,virement,2023-01-26
649,1001,198,paiement,2023-02-11
650,1009,698,achat,2023-01-08
651,1013,1757,remboursement,2023-03-11
652,1007,1967,virement,2023-02-21
653,1007,1984,retrait,2023-12-21
654,1016,197,paiement,2023-07-05
655,1020,487,paiement,2023-05-22
656,1012,1066,achat,2023-05-31
657,1013,384,remboursement,2023-01-19
658,1012,212,paiement,2023-01-31
659,1013,1825,virement,2023-07-14
660,1011,497,virement,2023-10-20
661,1010,1858,remboursement,2023-03-10
662,1007,1994,paiement,2023-03-15
663,1004,1963,achat,2023-06-02
664,1019,173,achat,2023-02-19
665,1008,1689,retrait,2023-06-10
666,1013,1998,remboursement,2023-10-11
667,1002,1164,achat,2023-03-17
668,1005,1318,remboursement,2023-02-27
669,1014,1606,paiement,2023-05-18
670,1020,993,retrait,2023-10-13
671,1006,667,virement,2023-01-23
672,1012,327,retrait,2023-03-26
673,1008,840,virement,2023-10-16
674,1020,1455,paiement,2023-01-16
675,1001,870,remboursement,2023-01-08
676,1006,1855,remboursement,2023-01-23
677,1010,426,retrait,2023-05-08
678,1006,1998,achat,2023-07-02
679,1002,653,achat,2023-05-20
680,1007,262,achat,2023-03-06
681,1005,858,paiement,2023-06-13
682,1002,1616,remboursement,2023-03-03
683,1006,1686,virement,2023-05-13
684,1012,869,virement,2023-09-16
685,1019,1488,virement,2023-02-15
686,1002,1965,achat,2023-06-30
687,1013,995,retrait,2023-05-26
688,1004,1321,remboursement,2023-09-13
689,1015,225,paiement,2023-12-28
690,1016,1159,remboursement,2023-04-13
691,1008,1297,achat,2023-08-24
692,1013,1128,virement,2023-01-17
693,1014,1278,remboursement,2023-07-23
694,1001,318,virement,2023-02-02
695,1010,1969,achat,2023-12-02
696,1006,833,virement,2023-02-08
697,1008,861,virement,2023-11-20
698,1006,824,retrait,2023-10-21
699,1016,720,virement,2023-01-04
700,1008,477,virement,2023-08-18
701,1001,1173,achat,2023-05-16
702,1018,1676,remboursement,2023-09-11
703,1011,700,retrait,2023-05-25
704,1001,1220,paiement,2023-12-20
705,1006,623,retrait,2023-06-29
706,1017,1792,achat,2023-07-24
707,1019,1218,virement,2023-03-07
708,1012,1466,retrait,2023-04-24
709,1008,1801,remboursement,2023-09-16
710,1001,689,retrait,2023-12-11
711,1010,1527,retrait,2023-02-07
712,1005,1411,virement,2023-05-03
713,1019,767,virement,2023-11-07
714,1006,707,achat,2023-09-06
715,1002,977,retrait,2023-06-19
716,1001,1087,virement,2023-02-04
717,1017,568,retrait,2023-09-09
718,1018,1255,achat,2023-08-28
719,1001,1676,paiement,2023-03-27
720,1003,279,virement,2023-10-26
721,1013,447,paiement,2023-02-20
722,1008,258,virement,2023-11-29
723,1017,555,retrait,2023-11-28
724,1020,530,achat,2023-07-25
725,1006,1736,remboursement,2023-08-24
726,1005,1778,retrait,2023-04-30
727,1012,1214,retrait,2023-07-23
728,1019,924,achat,2023-01-06
729,1002,492,retrait,2023-03-29
730,1014,1281,remboursement,2023-07-26
731,1013,1889,retrait,2023-04-09
732,1016,281,virement,2023-03-26
733,1005,381,paiement,2023-05-12
734,1005,1211,remboursement,2023-11-03
735,1007,157,virement,2023-05-20
736,1008,1920,virement,2023-08-06
737,1016,666,remboursement,2023-05-07
738,1005,453,remboursement,2023-07-13
739,1018,1660,remboursement,2023-03-06
740,1001,452,remboursement,2023-11-16
741,1009,1005,remboursement,2023-01-28
742,1006,456,virement,2023-06-19
743,1014,377,achat,2023-06-17
744,1015,1987,achat,2023-12-17
745,1007,1693,paiement,2023-06-15
746,1012,635,retrait,2023-08-01
747,1002,1121,retrait,2023-12-18
748,1006,868,retrait,2023-09-04
749,1004,705,virement,2023-06-20
750,1008,216,remboursement,2023-03-24
751,1013,1416,remboursement,2023-08-30
752,1006,947,remboursement,2023-03-16
753,1004,1569,paiement,2023-04-19
754,1003,126,virement,2023-11-12
755,1007,709,achat,2023-10-02
756,1012,1637,paiement,2023-07-30
757,1003,163,remboursement,2023-02-10
758,1015,185,retrait,2023-09-29
759,1007,1953,remboursement,2023-08-14
760,1017,1075,remboursement,2023-10-07
761,1008,1762,retrait,2023-06-05
762,1016,1384,remboursement,2023-05-15
